CustomerID,recency_days,frequency,monetary,total_quantity,avg_order_value,first_purchase_date,last_purchase_date,primary_country,cluster,segment_clustered
12346,326,1,77183.6,74215,77183.6,2011/1/18 10:01,2011/1/18 10:01,United Kingdom,4,Dormant High-Value Customers
12347,2,7,4310,2458,76.96428571,2010/12/7 14:57,2011/12/7 15:52,Iceland,1,Loyal Customers
12348,75,4,1797.24,2341,112.3275,2010/12/16 19:09,2011/9/25 13:13,Finland,4,Dormant High-Value Customers
12349,19,1,1757.55,631,41.84642857,2011/11/21 09:51,2011/11/21 09:51,Italy,0,Occasional Buyers
12350,310,1,334.4,197,37.15555556,2011/2/2 16:01,2011/2/2 16:01,Norway,2,Hibernating
12352,36,8,2506.04,536,71.60114286,2011/2/16 12:33,2011/11/3 14:37,Norway,1,Loyal Customers
12353,204,1,89,20,22.25,2011/5/19 17:47,2011/5/19 17:47,Bahrain,2,Hibernating
12354,232,1,1079.4,530,35.98,2011/4/21 13:11,2011/4/21 13:11,Spain,4,Dormant High-Value Customers
12355,214,1,459.4,240,57.425,2011/5/9 13:49,2011/5/9 13:49,Bahrain,2,Hibernating
12356,23,3,2811.43,1591,68.57146341,2011/1/18 09:50,2011/11/17 08:40,Portugal,1,Loyal Customers
12357,33,1,6207.67,2708,105.2147458,2011/11/6 16:07,2011/11/6 16:07,Switzerland,4,Dormant High-Value Customers
12358,2,2,1168.06,248,106.1872727,2011/7/12 10:04,2011/12/8 10:26,Austria,1,Loyal Customers
12359,58,4,6372.58,1622,80.66556962,2011/1/12 12:43,2011/10/13 12:47,Cyprus,4,Dormant High-Value Customers
12360,52,3,2662.06,1165,59.15688889,2011/5/23 09:43,2011/10/18 15:22,Austria,4,Dormant High-Value Customers
12361,287,1,189.9,91,37.98,2011/2/25 13:51,2011/2/25 13:51,Belgium,2,Hibernating
12362,3,10,5226.23,2229,82.95603175,2011/2/17 10:30,2011/12/6 15:40,Belgium,3,Champions
12363,110,2,552,408,69,2011/4/11 13:29,2011/8/22 10:18,Unspecified,4,Dormant High-Value Customers
12364,8,4,1313.1,1506,54.7125,2011/8/19 15:24,2011/12/2 10:22,Belgium,1,Loyal Customers
12365,291,2,641.38,174,64.138,2011/2/21 13:51,2011/2/21 14:04,Cyprus,2,Hibernating
12367,4,1,168.9,173,24.12857143,2011/12/5 16:48,2011/12/5 16:48,Denmark,0,Occasional Buyers
12370,51,4,3545.69,2353,48.57109589,2010/12/14 12:58,2011/10/19 14:51,Cyprus,4,Dormant High-Value Customers
12371,45,2,1887.96,591,57.21090909,2011/10/11 10:43,2011/10/26 10:16,Switzerland,4,Dormant High-Value Customers
12372,72,3,1298.04,794,64.902,2011/2/16 12:46,2011/9/29 12:12,Denmark,4,Dormant High-Value Customers
12373,311,1,364.6,197,36.46,2011/2/1 13:10,2011/2/1 13:10,Austria,2,Hibernating
12374,25,1,742.93,342,30.95541667,2011/11/14 15:37,2011/11/14 15:37,Austria,0,Occasional Buyers
12375,11,2,457.5,178,57.1875,2011/9/2 14:23,2011/11/29 10:36,Finland,0,Occasional Buyers
12377,315,2,1628.12,944,56.14206897,2010/12/20 09:37,2011/1/28 15:45,Switzerland,4,Dormant High-Value Customers
12378,130,1,4008.62,2529,56.45943662,2011/8/2 10:34,2011/8/2 10:34,Switzerland,4,Dormant High-Value Customers
12379,82,2,852.24,407,42.612,2011/6/22 16:32,2011/9/19 10:09,Belgium,4,Dormant High-Value Customers
12380,22,4,2724.81,1127,64.87642857,2011/6/7 09:49,2011/11/18 11:27,Belgium,1,Loyal Customers
12381,5,5,1845.31,808,41.93886364,2011/8/12 09:57,2011/12/5 12:44,Norway,1,Loyal Customers
12383,185,5,1850.56,1532,48.69894737,2010/12/22 14:28,2011/6/8 08:02,Belgium,4,Dormant High-Value Customers
12384,29,2,585.27,126,34.42764706,2011/8/10 11:23,2011/11/11 08:39,Switzerland,0,Occasional Buyers
12386,338,2,401.9,354,50.2375,2010/12/8 09:53,2011/1/6 12:37,Australia,2,Hibernating
12388,16,6,2780.66,1462,60.44913043,2011/1/17 11:12,2011/11/24 12:30,Australia,1,Loyal Customers
12390,80,1,549.84,353,30.54666667,2011/9/21 09:33,2011/9/21 09:33,Belgium,2,Hibernating
12391,22,1,460.89,300,12.45648649,2011/11/18 12:07,2011/11/18 12:07,Cyprus,0,Occasional Buyers
12393,72,4,1582.6,816,65.94166667,2011/1/11 09:47,2011/9/28 15:41,Australia,4,Dormant High-Value Customers
12394,64,2,1272.48,819,74.85176471,2011/5/6 14:01,2011/10/7 08:08,Belgium,4,Dormant High-Value Customers
12395,19,12,3018.63,2118,64.22617021,2010/12/3 16:35,2011/11/20 15:21,Belgium,3,Champions
12397,36,2,2409.9,1263,49.18163265,2011/7/27 14:21,2011/11/4 09:52,Belgium,4,Dormant High-Value Customers
12398,46,1,1635.66,1394,48.10764706,2011/10/25 10:27,2011/10/25 10:27,Switzerland,4,Dormant High-Value Customers
12399,119,4,1108.65,1178,52.79285714,2011/3/23 09:42,2011/8/12 13:15,Belgium,4,Dormant High-Value Customers
12401,303,1,84.3,11,21.075,2011/2/9 13:50,2011/2/9 13:50,Belgium,2,Hibernating
12402,323,1,225.6,94,32.22857143,2011/1/20 13:49,2011/1/20 13:49,Belgium,2,Hibernating
12403,50,1,427.7,96,85.54,2011/10/21 10:51,2011/10/21 10:51,Denmark,0,Occasional Buyers
12405,149,1,1710.39,857,57.013,2011/7/14 08:52,2011/7/14 08:52,Finland,4,Dormant High-Value Customers
12406,22,2,3415.3,1818,74.24565217,2011/6/9 10:23,2011/11/17 19:22,Denmark,1,Loyal Customers
12407,50,5,1708.12,1416,41.66146341,2011/3/20 13:21,2011/10/21 10:11,Belgium,4,Dormant High-Value Customers
12408,33,5,2888.55,1409,70.45243902,2011/3/24 14:46,2011/11/7 12:27,Belgium,1,Loyal Customers
12409,79,3,11072.67,5551,181.5191803,2011/6/10 12:19,2011/9/22 10:38,Switzerland,4,Dormant High-Value Customers
12410,309,2,693.33,211,49.52357143,2011/2/4 10:38,2011/2/4 10:39,Switzerland,2,Hibernating
12412,75,3,1226.88,829,40.896,2011/6/23 13:51,2011/9/26 10:16,Denmark,4,Dormant High-Value Customers
12413,67,3,758.1,286,32.96086957,2011/1/6 16:12,2011/10/4 09:00,France,4,Dormant High-Value Customers
12414,217,3,562.41,300,43.26230769,2011/2/2 14:51,2011/5/6 14:51,Austria,4,Dormant High-Value Customers
12415,24,21,124914.53,77374,505.7268421,2011/1/6 11:12,2011/11/15 14:22,Australia,3,Champions
12417,3,9,3649.1,1552,52.13,2010/12/17 11:51,2011/12/6 14:52,Belgium,3,Champions
12418,113,1,668.58,407,33.429,2011/8/19 11:08,2011/8/19 11:08,Switzerland,2,Hibernating
12420,64,1,600.39,345,30.0195,2011/10/7 08:55,2011/10/7 08:55,Cyprus,0,Occasional Buyers
12421,16,4,807.04,484,31.04,2011/1/24 15:09,2011/11/24 09:07,Spain,1,Loyal Customers
12422,96,3,803.56,370,42.29263158,2011/1/19 09:13,2011/9/5 09:48,Australia,4,Dormant High-Value Customers
12423,1,8,1859.31,1339,45.34902439,2010/12/21 10:54,2011/12/9 10:10,Belgium,1,Loyal Customers
12424,163,2,1760.96,740,80.04363636,2011/6/30 12:06,2011/6/30 12:06,Australia,4,Dormant High-Value Customers
12425,78,1,777.2,496,38.86,2011/9/22 17:31,2011/9/22 17:31,Portugal,4,Dormant High-Value Customers
12426,195,1,582.73,258,32.37388889,2011/5/29 12:26,2011/5/29 12:26,Germany,2,Hibernating
12427,22,3,825.8,533,41.29,2010/12/3 10:44,2011/11/18 08:56,Germany,0,Occasional Buyers
12428,26,9,7956.46,3536,88.40511111,2011/3/1 09:33,2011/11/14 08:22,Finland,3,Champions
12429,9,4,3750.4,1557,70.76226415,2010/12/9 12:05,2011/11/30 17:22,Denmark,1,Loyal Customers
12430,43,1,256.4,117,25.64,2011/10/27 15:09,2011/10/27 15:09,Norway,0,Occasional Buyers
12431,36,15,6487.45,2906,80.09197531,2010/12/1 10:03,2011/11/4 11:55,Australia,3,Champions
12432,43,5,5059.32,1801,91.98763636,2011/6/20 13:27,2011/10/28 11:43,Norway,1,Loyal Customers
